userID,food,rating
4,훠궈,4
4,팔보채,1
4,우동,5
4,생선회,3
4,초밥,5
4,돈부리 덮밥,2
4,라멘,3
4,메밀소바,1
4,타코야끼,4
4,오코노미야끼,1
4,스키야키,2
4,규카츠,4
4,치킨,4
4,스파게티,5
4,피자,4
4,햄버거,3
4,스테이크,5
4,부리또,1
4,타코,2
4,리조또,2
4,쌀국수,1
4,팟타이,3
5,비빔밥,1
5,볶음밥,2
5,김치찌개,3
5,된장찌개,1
5,순두부찌개,2
5,삼계탕,3
5,갈비,5
5,생선구이,2
5,삼겹살,3
5,보쌈,4
5,족발,5
5,곱창,4
5,떡볶이,3
5,돈까스,5
5,제육볶음,5
5,매운탕,1
5,청국장,1
5,순대국밥,4
5,감자탕,4
5,냉면,2
5,추어탕,1
5,낙지볶음,3
5,육개장,3
5,찜닭,5
5,나주곰탕,1
5,소머리 국밥,5
5,물회,4
5,샤브샤브,2
5,간장게장,4
5,칼국수,2
5,짜장면,4
5,짬뽕,4
5,탕수육,5
5,마라탕,3
5,양꼬치,5
5,마파두부밥,2
5,유산슬,1
5,깐풍기,3
5,훠궈,2
5,팔보채,1
5,우동,3
5,생선회,5
5,초밥,4
5,돈부리 덮밥,4
5,라멘,5
5,메밀소바,2
5,타코야끼,1
5,오코노미야끼,3
5,스키야키,1
5,규카츠,2
5,치킨,5
5,스파게티,4
5,피자,4
5,햄버거,3
5,스테이크,5
5,부리또,3
5,타코,2
5,리조또,1
5,쌀국수,1
5,팟타이,2
6,비빔밥,2
6,볶음밥,3
6,김치찌개,4
6,된장찌개,4
6,순두부찌개,4
6,삼계탕,5
6,갈비,5
6,생선구이,3
6,삼겹살,5
6,보쌈,4
6,족발,4
6,곱창,5
6,떡볶이,3
6,돈까스,4
6,제육볶음,4
6,매운탕,4
6,청국장,3
6,순대국밥,4
6,감자탕,4
6,냉면,5
6,추어탕,2
6,낙지볶음,5
6,육개장,3
6,찜닭,4
6,나주곰탕,4
6,소머리 국밥,4
6,물회,5
6,샤브샤브,5
6,간장게장,2
